Country,M49code,ISOcode,OverallFairLabor,In law,In Practice,Latitude,Longitude,ExtremePoor,ModeratePoor,NearPoor
Afghanistan,4,AFG,0.90,1.42,0.00,33,65,,,
Albania,8,ALB,2.21,1.22,2.28,41,20,0.04,2.26,17.41
Algeria,12,DZA,5.79,4.08,5.09,28,3,0.09,0.99,13.43
Angola,24,AGO,3.17,3.62,1.41,-12.5,18.5,51.89,21.17,16.17
Antigua and Barbuda,28,ATG,0.72,1.15,0.00,17.05,-61.8,,,
Argentina,32,ARG,4.95,1.93,5.92,-34,-64,0.45,1.54,5.75
Armenia,51,ARM,1.78,1.66,1.16,40,45,0.36,5.28,32.58
Australia,36,AUS,4.52,5.14,2.02,-27,133,,,
Austria,40,AUT,0.38,0.00,0.60,47.3333,13.3333,,,
Azerbaijan,31,AZE,2.21,1.19,2.31,40.5,47.5,0.1,0.1,0.09
Bahamas,44,BHS,2.67,3.93,0.30,24.25,-76,,,
Bahrain,48,BHR,6.43,5.94,4.24,26,50.55,,,
Bangladesh,50,BGD,8.36,7.57,5.67,24,90,4.04,25.19,39.82
Barbados,52,BRB,3.10,2.84,2.07,13.1667,-59.5333,,,
Belarus,112,BLR,5.21,3.13,5.11,53,28,0.1,0.1,0.1
Belgium,56,BEL,1.66,0.00,2.63,50.8333,4,,,
Belize,84,BLZ,2.60,2.91,1.21,17.25,-88.75,13.39,17.01,22.12
Benin,204,BEN,3.68,4.03,1.80,9.5,2.25,37.32,27.37,21.66
Bolivia (Plurinational State of),68,BOL,3.49,4.33,1.20,-17,-65,4.43,3.28,10.49
Bosnia and Herzegovina,70,BIH,2.35,1.12,2.60,44,18,0.1,0.08,0.81
Botswana,72,BWA,4.33,6.32,0.53,-22,24,9.6,19.32,21.85
Brazil,76,BRA,4.24,3.05,3.67,-10,-55,1.83,2.44,6.39
Brunei Darussalam,96,BRN,3.17,5.03,0.00,4.5,114.6667,,,
Bulgaria,100,BGR,3.09,2.85,2.05,43,25,,,
Burkina Faso,854,BFA,1.99,1.97,1.18,13,-2,31.24,35.94,20.4
Burundi,108,BDI,3.69,5.61,0.24,-3.5,30,79.39,14.16,5.25
Cabo Verde,132,CPV,0.47,0.51,0.24,16,-24,0.4,7.89,22.14
Cambodia,116,KHM,6.16,4.86,4.90,13,105,9.22,33.74,33.68
Cameroon,120,CMR,5.24,3.89,4.42,6,12,21.33,19.86,23.95
Canada,124,CAN,1.90,2.47,0.54,60,-95,,,
Central African Republic,140,CAF,2.11,3.34,0.00,7,21,63.48,18.18,10.7
Chad,148,TCD,2.19,1.99,1.48,15,19,42.67,27.52,17.81
Chile,152,CHL,2.91,2.54,2.07,-30,-71,0.06,0.22,0.9
China,156,CHN,5.71,4.73,4.31,35,105,0.23,1.58,6.74
Colombia,170,COL,6.35,2.31,7.75,4,-72,2.44,5.19,13.28
Comoros,174,COM,1.73,2.20,0.55,-12.1667,44.25,15.21,18.11,23.72
Congo,178,COG,1.63,1.99,0.59,-1,15,59.26,20.38,13.25
Cook Islands,184,COK,,,,-21.2333,-159.7667,,,
Costa Rica,188,CRI,2.73,1.70,2.63,10,-84,0.31,0.98,4
Côte d'Ivoire,384,CIV,2.60,1.43,2.69,8,-5,19.96,26.26,25.86
Croatia,191,HRV,2.20,1.76,1.73,45.1667,15.5,,,
Cuba,192,CUB,1.55,0.28,2.18,21.5,-80,,,
Cyprus,196,CYP,0.19,0.00,0.30,35,33,,,
Czech Republic,203,CZE,2.36,2.01,1.72,49.75,15.5,,,
Democratic Republic of the Congo,180,COD,5.01,3.76,4.17,0,25,68.83,17.38,9.42
Denmark,208,DNK,0.53,0.58,0.27,56,10,,,
Djibouti,262,DJI,4.36,2.32,4.59,11.5,43,,,
